,date,R_m,CSAD,CSSD,StringencyIndex_WeightedAverage,C6E_Stay at home requirements,PopulationVaccinated,C2E_Workplace closing,C3E_Cancel public events,C4E_Restrictions on gatherings,C5E_Close public transport,C7E_Restrictions on internal movement,C8E_International travel controls
0,20200102,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,20200103,0.08200890143675811,1.0763792369288192,0.08986558062280774,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,20200106,-0.007569456919769116,1.5106372816352862,0.12632816612141748,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,20200107,0.7623890861103995,1.0393513156023897,0.08925089526915983,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,20200108,-1.4699810038649495,1.3808293131318803,0.10777482843053103,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,20200109,1.2207274911815211,1.2365642284458418,0.10771299047168867,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,20200110,-0.10954372107590947,1.017425169760475,0.08843356633340459,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,20200113,1.0267502572553806,1.271501379516779,0.11565451395775496,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,20200114,-0.1881720582303761,1.1479002496751525,0.10086800650120589,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,20200115,-0.6123181513333359,1.0261616254651513,0.09001548450195929,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,20200116,-0.3999889955517199,0.9674199292873992,0.0904017469544201,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11,20200117,0.07782435262037112,1.0622174967613243,0.1033715155612952,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12,20200120,0.8649674529567992,1.6833837196175239,0.14746892303639145,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13,20200121,-1.597344331083719,1.4317492697801322,0.11732909594788869,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14,20200122,0.4661731560892698,1.4104590955610579,0.12477497837125973,26.39,0.0,0.0,0.0,2.0,4.0,0.0,0.0,0.0
15,20200123,-3.202301988787028,1.514365416445265,0.12665644987470595,44.91,1.0,0.0,0.0,2.0,4.0,2.0,2.0,0.0
16,20200203,-8.977270758511592,2.069002336882231,0.17104063737322936,77.31,3.0,0.0,3.0,2.0,4.0,2.0,2.0,0.0
17,20200204,1.5852292494654483,2.901234600656273,0.2111366239339248,77.31,3.0,0.0,3.0,2.0,4.0,2.0,2.0,0.0
18,20200205,1.6437637528220528,1.631199132501683,0.1330073834433135,77.31,3.0,0.0,3.0,2.0,4.0,2.0,2.0,0.0
19,20200206,2.09670526164129,1.6192286822585786,0.132796557675202,77.31,3.0,0.0,3.0,2.0,4.0,2.0,2.0,0.0
20,20200207,0.28496336702482344,1.6341383263107363,0.136275456822824,77.31,3.0,0.0,3.0,2.0,4.0,2.0,2.0,0.0
21,20200210,0.7818024409366189,1.6750738216274599,0.13775760927603745,75.46,3.0,0.0,3.0,2.0,4.0,2.0,2.0,0.0
22,20200211,0.38543676902856683,1.4551687329014742,0.11982023503771157,75.46,3.0,0.0,3.0,2.0,4.0,2.0,2.0,0.0
23,20200212,1.1129955244216914,1.2367997353978457,0.11245287771172925,75.46,3.0,0.0,3.0,2.0,4.0,2.0,2.0,0.0
24,20200213,-0.5771468892081284,1.4142898356689517,0.12061997441071105,75.46,3.0,0.0,3.0,2.0,4.0,2.0,2.0,0.0
25,20200214,0.7183106555798158,1.4036791548365422,0.11953536231139965,75.46,3.0,0.0,3.0,2.0,4.0,2.0,2.0,0.0
26,20200217,2.7443920357595935,1.6530486769886092,0.1286761729585462,75.46,3.0,0.0,3.0,2.0,4.0,2.0,2.0,0.0
27,20200218,-0.07709022687282262,1.310852957463645,0.10753040855126914,75.46,3.0,0.0,3.0,2.0,4.0,2.0,2.0,0.0
28,20200219,-0.4640045934619233,1.5563670461449328,0.13136220345385485,75.46,3.0,0.0,3.0,2.0,4.0,2.0,2.0,0.0
29,20200220,2.2365653203753633,1.8919198260091785,0.14587176987292425,75.46,3.0,0.0,3.0,2.0,4.0,2.0,2.0,0.0
30,20200221,0.4847507636018765,1.5534356602911772,0.12314480302850442,75.46,3.0,0.0,3.0,2.0,4.0,2.0,2.0,0.0
31,20200224,-0.06772262679549457,2.029439438467632,0.16608290880329052,75.46,3.0,0.0,3.0,2.0,4.0,2.0,2.0,0.0
32,20200225,-0.23468434491779278,2.0448101847036235,0.1614495907805596,81.02,3.0,0.0,3.0,2.0,4.0,2.0,2.0,2.0
33,20200226,-1.2461480399387383,2.6945753248205997,0.2079549329125049,81.02,3.0,0.0,3.0,2.0,4.0,2.0,2.0,2.0
34,20200227,0.015038150936765771,1.4722187301645864,0.1284844712663475,81.02,3.0,0.0,3.0,2.0,4.0,2.0,2.0,2.0
35,20200228,-4.055752425678548,2.092339443517755,0.15799937144031206,81.02,3.0,0.0,3.0,2.0,4.0,2.0,2.0,2.0
36,20200302,3.5341478989837922,1.7638289829410823,0.13324150559080156,81.02,3.0,0.0,3.0,2.0,4.0,2.0,2.0,2.0
37,20200303,0.5410311229264282,1.2508875159009332,0.10065193343392442,81.02,3.0,0.0,3.0,2.0,4.0,2.0,2.0,2.0
38,20200304,0.7398952468581348,1.5954616360911489,0.1310826289055754,81.02,3.0,0.0,3.0,2.0,4.0,2.0,2.0,2.0
39,20200305,1.8162961812248841,1.3904737449110205,0.11252928302042968,81.02,3.0,0.0,3.0,2.0,4.0,2.0,2.0,2.0
40,20200306,-1.4893604002197878,1.3410219835554449,0.10617207785493765,81.02,3.0,0.0,3.0,2.0,4.0,2.0,2.0,2.0
41,20200309,-3.568883538811884,1.7672438052892026,0.14112513476203067,81.02,3.0,0.0,3.0,2.0,4.0,2.0,2.0,2.0
42,20200310,2.1133424143930357,1.6482702373560025,0.13056396255730074,81.02,3.0,0.0,3.0,2.0,4.0,2.0,2.0,2.0
43,20200311,-1.1766676276174086,1.3539519966832054,0.11120910892038455,81.02,3.0,0.0,3.0,2.0,4.0,2.0,2.0,2.0
44,20200312,-1.944812669699523,1.3620030627202755,0.11278049509160444,81.02,3.0,0.0,3.0,2.0,4.0,2.0,2.0,2.0
45,20200313,-1.2348585752720762,1.2079403124204457,0.10905950356503274,81.02,3.0,0.0,3.0,2.0,4.0,2.0,2.0,2.0
46,20200316,-4.2918661052285065,2.314760119745734,0.16697647107282443,79.17,3.0,0.0,3.0,2.0,4.0,2.0,2.0,2.0
47,20200317,-0.4052151905241261,1.5946739176174352,0.1285740555007841,79.17,3.0,0.0,3.0,2.0,4.0,2.0,2.0,2.0
48,20200318,-1.9820307844496414,1.3874205247795723,0.11038734017511631,79.17,3.0,0.0,3.0,2.0,4.0,2.0,2.0,2.0
49,20200319,-0.7943318616692486,1.9970735381654148,0.15972779529305034,79.17,3.0,0.0,3.0,2.0,4.0,2.0,2.0,2.0
50,20200320,1.4634578213539555,1.462076176776985,0.11733281015575009,79.17,3.0,0.0,3.0,2.0,4.0,2.0,2.0,2.0
51,20200323,-3.848516615497788,2.056496459252581,0.15590693918032436,79.17,3.0,0.0,3.0,2.0,4.0,2.0,2.0,2.0
52,20200324,2.255639298619663,1.522540171375563,0.12350420382612257,79.17,3.0,0.0,3.0,2.0,4.0,2.0,2.0,2.0
53,20200325,2.6462377957540357,1.62983776740942,0.11936841700324832,79.17,3.0,0.0,3.0,2.0,4.0,2.0,2.0,2.0
54,20200326,-0.964919712252459,1.4526559382865383,0.11775817470261743,81.94,3.0,0.0,3.0,2.0,4.0,2.0,2.0,3.0
55,20200327,0.2751531031314894,1.3128004049892195,0.10769770979559082,81.94,3.0,0.0,3.0,2.0,4.0,2.0,2.0,3.0
56,20200330,-1.2999576165961209,1.8573777769418913,0.14357930885155673,73.61,3.0,0.0,3.0,2.0,4.0,0.0,2.0,3.0
57,20200331,0.10952984155525322,1.6009779400426667,0.1341711371132253,73.61,3.0,0.0,3.0,2.0,4.0,0.0,2.0,3.0
58,20200401,-0.532241960990243,1.2868249163247052,0.10607256104585289,73.61,3.0,0.0,3.0,2.0,4.0,0.0,2.0,3.0
59,20200402,1.6660360358185526,1.3902485073723556,0.11627220369556492,73.61,3.0,0.0,3.0,2.0,4.0,0.0,2.0,3.0
60,20200403,-0.6548150158796158,1.2010161417466079,0.09372131766772608,69.91,3.0,0.0,2.0,2.0,4.0,0.0,2.0,3.0
61,20200407,2.449952023126691,1.2416479033786954,0.09881560462335409,69.91,3.0,0.0,2.0,2.0,4.0,0.0,2.0,3.0
62,20200408,-0.17307437214999805,1.0183670623442675,0.08560740043563737,56.94,1.0,0.0,2.0,2.0,4.0,0.0,1.0,3.0
63,20200409,0.4672377177969435,1.117408167810025,0.09739822953624658,56.94,1.0,0.0,2.0,2.0,4.0,0.0,1.0,3.0
64,20200410,-1.3648030962394826,1.3215071363332092,0.10117253260428204,56.94,1.0,0.0,2.0,2.0,4.0,0.0,1.0,3.0
65,20200413,-0.6083547832586546,1.3542587686047458,0.10861205340452779,56.94,1.0,0.0,2.0,2.0,4.0,0.0,1.0,3.0
66,20200414,1.9886762586823696,1.3889559500929312,0.11087240554877187,56.94,1.0,0.0,2.0,2.0,4.0,0.0,1.0,3.0
67,20200415,-0.6447590842291588,1.189498032269918,0.10334686420836733,56.94,1.0,0.0,2.0,2.0,4.0,0.0,1.0,3.0
68,20200416,0.25129162003054145,1.0104002408533084,0.08594106479767591,56.94,1.0,0.0,2.0,2.0,4.0,0.0,1.0,3.0
69,20200417,0.5120268160969167,1.2554531979856234,0.10316336454948873,56.94,1.0,0.0,2.0,2.0,4.0,0.0,1.0,3.0
70,20200420,0.35680813523296623,1.0271838068199532,0.0878523067173059,56.94,1.0,0.0,2.0,2.0,4.0,0.0,1.0,3.0
71,20200421,-1.0947660546402331,1.0781903735958052,0.08743871470780747,56.94,1.0,0.0,2.0,2.0,4.0,0.0,1.0,3.0
72,20200422,0.601156918502076,1.0313854325082352,0.08802350823892388,56.94,1.0,0.0,2.0,2.0,4.0,0.0,1.0,3.0
73,20200423,-0.251361865570624,1.2350272618061864,0.10706551872187342,56.94,1.0,0.0,2.0,2.0,4.0,0.0,1.0,3.0
74,20200424,-1.171581837913483,1.2994954716851441,0.11169590268863888,56.94,1.0,0.0,2.0,2.0,4.0,0.0,1.0,3.0
75,20200427,0.04633898794956981,1.5399411216951069,0.14766265493992525,56.94,1.0,0.0,2.0,2.0,4.0,0.0,1.0,3.0
76,20200428,-0.07174103795340707,1.8837219053552683,0.14647084192533083,56.94,1.0,0.0,2.0,2.0,4.0,0.0,1.0,3.0
77,20200429,0.41301707111313934,1.558989153367792,0.12718952433648725,56.94,1.0,0.0,2.0,2.0,4.0,0.0,1.0,3.0
78,20200430,1.892926301701701,1.7773043519389664,0.13546159330127375,56.94,1.0,0.0,2.0,2.0,4.0,0.0,1.0,3.0
79,20200506,0.8856309890361224,1.5950228021305688,0.12606977802275895,56.94,1.0,0.0,2.0,2.0,4.0,0.0,1.0,3.0
80,20200507,-0.5405018617362196,1.1124591827384347,0.13917988818712587,56.94,1.0,0.0,2.0,2.0,4.0,0.0,1.0,3.0
81,20200508,1.0053697501816854,1.0851336947701657,0.12069304174288668,56.94,1.0,0.0,2.0,2.0,4.0,0.0,1.0,3.0
82,20200511,-0.034452140391559916,1.2483361450186166,0.1058879336109677,81.94,3.0,0.0,3.0,2.0,4.0,2.0,2.0,3.0
83,20200512,-0.2720130447188325,1.0745009462421828,0.08314438195182007,81.94,3.0,0.0,3.0,2.0,4.0,2.0,2.0,3.0
84,20200513,0.1697009042552604,1.0705076542624987,0.1479850236321314,81.94,3.0,0.0,3.0,2.0,4.0,2.0,2.0,3.0
85,20200514,-1.0785639106667615,0.9439171742381204,0.07400903513892813,81.94,3.0,0.0,3.0,2.0,4.0,2.0,2.0,3.0
86,20200515,-0.17242078808292852,0.8801187165568884,0.07426099061129297,81.94,3.0,0.0,3.0,2.0,4.0,2.0,2.0,3.0
87,20200518,-0.01144463429605847,1.658907125265255,0.14586622498929833,81.94,3.0,0.0,3.0,2.0,4.0,2.0,2.0,3.0
88,20200519,0.711225020113412,1.1566368106868297,0.12438367171304596,81.94,3.0,0.0,3.0,2.0,4.0,2.0,2.0,3.0
89,20200520,-0.7304750659774449,1.2442794171550393,0.10827531764384517,81.94,3.0,0.0,3.0,2.0,4.0,2.0,2.0,3.0
90,20200521,-0.823348939003836,1.208476682246624,0.11370347365926442,81.94,3.0,0.0,3.0,2.0,4.0,2.0,2.0,3.0
91,20200522,-2.0707414271728433,1.1194125474077916,0.12056576822062484,81.94,3.0,0.0,3.0,2.0,4.0,2.0,2.0,3.0
92,20200525,-0.2871558440153711,1.455520624901778,0.12669332737056288,81.94,3.0,0.0,3.0,2.0,4.0,2.0,2.0,3.0
93,20200526,1.2499313910579026,1.120496566288233,0.10455903752384371,81.94,3.0,0.0,3.0,2.0,4.0,2.0,2.0,3.0
94,20200527,-0.5608486057196062,1.3670550601093583,0.10890081480206118,81.94,3.0,0.0,3.0,2.0,4.0,2.0,2.0,3.0
95,20200528,-0.05352288767915027,1.322454142586129,0.16036820928032747,81.94,3.0,0.0,3.0,2.0,4.0,2.0,2.0,3.0
96,20200529,0.21562524784777315,1.6045771925322225,0.22558879683754993,81.94,3.0,0.0,3.0,2.0,4.0,2.0,2.0,3.0
97,20200601,2.5709427107447285,1.5166551405801219,0.12106648561223483,81.94,3.0,0.0,3.0,2.0,4.0,2.0,2.0,3.0
98,20200602,0.21223832544425694,1.2824994523553594,0.10575877689113825,81.94,3.0,0.0,3.0,2.0,4.0,2.0,2.0,3.0
99,20200603,-0.30839582704856106,1.1887824309868475,0.12774886124129087,78.24,3.0,0.0,3.0,2.0,4.0,2.0,2.0,3.0
100,20200604,-0.6652495895054633,1.3577203486627059,0.24307449759845629,78.24,3.0,0.0,3.0,2.0,4.0,2.0,2.0,3.0
101,20200605,0.34536070991160794,1.3141624094014766,0.1390685554224907,78.24,3.0,0.0,3.0,2.0,4.0,2.0,2.0,3.0
102,20200608,0.3546869087340211,1.2841955562413916,0.10541156181759918,78.24,3.0,0.0,3.0,2.0,4.0,2.0,2.0,3.0
103,20200609,0.478338554448481,1.2792213399747392,0.25051995596608173,78.24,3.0,0.0,3.0,2.0,4.0,2.0,2.0,3.0
104,20200610,-0.2625533160582809,1.2323197834446897,0.10003224774378557,78.24,3.0,0.0,3.0,2.0,4.0,2.0,2.0,3.0
105,20200611,-0.8016078467236055,1.1594940005840557,0.12547058324380173,78.24,3.0,0.0,3.0,2.0,4.0,2.0,2.0,3.0
106,20200612,-0.09784020560344633,1.223083393541937,0.13024822617265516,78.24,3.0,0.0,3.0,2.0,4.0,2.0,2.0,3.0
107,20200615,-0.9041261152185069,1.4888274725818733,0.1245867464597346,78.24,3.0,0.0,3.0,2.0,4.0,2.0,2.0,3.0
108,20200616,1.4426744908650444,1.0787838643932475,0.09015356430894182,78.24,3.0,0.0,3.0,2.0,4.0,2.0,2.0,3.0
109,20200617,0.08760463584890789,1.1827352703621752,0.12527081199863255,78.24,3.0,0.0,3.0,2.0,4.0,2.0,2.0,3.0
110,20200618,0.5733162405988814,1.2845300406515863,0.1054956627429262,78.24,3.0,0.0,3.0,2.0,4.0,2.0,2.0,3.0
111,20200619,0.9875934751922283,1.4052561387948375,0.11761805185458168,78.24,3.0,0.0,3.0,2.0,4.0,2.0,2.0,3.0
112,20200622,0.018170322099082342,1.4313281920048782,0.11644800693005863,78.24,3.0,0.0,3.0,2.0,4.0,2.0,2.0,3.0
113,20200623,0.23626245416399405,1.4555518450120282,0.11721568030702953,78.24,3.0,0.0,3.0,2.0,4.0,2.0,2.0,3.0
114,20200624,0.2586368919683507,1.2819127941615114,0.10309125715884376,78.24,3.0,0.0,3.0,2.0,4.0,2.0,2.0,3.0
115,20200629,-1.0202360793791532,1.4560089385143655,0.12066225986524517,78.24,3.0,0.0,3.0,2.0,4.0,2.0,2.0,3.0
116,20200630,1.370424660344645,1.4827058785786662,0.1291853944650412,78.24,3.0,0.0,3.0,2.0,4.0,2.0,2.0,3.0
117,20200701,1.6493178583439096,1.8319790292024187,0.14813705817299383,78.24,3.0,0.0,3.0,2.0,4.0,2.0,2.0,3.0
118,20200702,2.5229763364030178,2.2275568352214044,0.1710759471844732,78.24,3.0,0.0,3.0,2.0,4.0,2.0,2.0,3.0
119,20200703,2.0717118222263737,2.2302053961908497,0.17264555275865637,78.24,3.0,0.0,3.0,2.0,4.0,2.0,2.0,3.0
120,20200706,5.395286015512373,2.6228723959480447,0.18032418242434176,78.24,3.0,0.0,3.0,2.0,4.0,2.0,2.0,3.0
121,20200707,0.2091527161347857,2.4574722873723687,0.18842924935499805,78.24,3.0,0.0,3.0,2.0,4.0,2.0,2.0,3.0
122,20200708,2.1278113039226483,2.1819370948134758,0.16520520948148848,78.24,3.0,0.0,3.0,2.0,4.0,2.0,2.0,3.0
123,20200709,1.842048703600233,2.1584018817126616,0.16590798748329974,78.24,3.0,0.0,3.0,2.0,4.0,2.0,2.0,3.0
124,20200710,-1.7874286141585671,2.4096171813422815,0.2058450797259648,78.24,3.0,0.0,3.0,2.0,4.0,2.0,2.0,3.0
125,20200713,2.218349487524452,2.06986999248639,0.1708331972316843,78.24,3.0,0.0,3.0,2.0,4.0,2.0,2.0,3.0
126,20200714,-0.8756612376847799,1.7940262568986187,0.14272747547255019,78.24,3.0,0.0,3.0,2.0,4.0,2.0,2.0,3.0
127,20200715,-1.9299836696768629,2.379836180018138,0.18662571744068676,78.24,3.0,0.0,3.0,2.0,4.0,2.0,2.0,3.0
128,20200716,-4.513813940844058,2.265423412383672,0.16780228488370505,78.24,3.0,0.0,3.0,2.0,4.0,2.0,2.0,3.0
129,20200717,0.08345645988608365,2.1088637392527465,0.16686904722195314,78.24,3.0,0.0,3.0,2.0,4.0,2.0,2.0,3.0
130,20200720,3.5400587231998957,2.3135512708812636,0.18731028796452498,78.24,3.0,0.0,3.0,2.0,4.0,2.0,2.0,3.0
131,20200721,-0.2766988273828996,1.9458914945710897,0.22704905340392997,78.24,3.0,0.0,3.0,2.0,4.0,2.0,2.0,3.0
132,20200722,0.475213777844468,1.2986840509596724,0.1050296914516703,78.24,3.0,0.0,3.0,2.0,4.0,2.0,2.0,3.0
133,20200723,-0.3203572650076317,1.8757333614482112,0.1553405574104972,78.24,3.0,0.0,3.0,2.0,4.0,2.0,2.0,3.0
134,20200724,-4.323609334156401,1.9722076545592908,0.1561569671738238,78.24,3.0,0.0,3.0,2.0,4.0,2.0,2.0,3.0
135,20200727,0.41083432696788746,1.7296177082440334,0.14214399844850462,78.24,3.0,0.0,3.0,2.0,4.0,2.0,2.0,3.0
136,20200728,0.6526349215093433,1.2550388850338092,0.10786836379782508,78.24,3.0,0.0,3.0,2.0,4.0,2.0,2.0,3.0
137,20200729,2.3555044691868017,1.4797084383736339,0.11852377019666865,78.24,3.0,0.0,3.0,2.0,4.0,2.0,2.0,3.0
138,20200730,-0.445916029456251,1.458785163232624,0.12403927782524221,78.24,3.0,0.0,3.0,2.0,4.0,2.0,2.0,3.0
139,20200731,0.7374716280201925,1.2486212111605075,0.11411562242768733,78.24,3.0,0.0,3.0,2.0,4.0,2.0,2.0,3.0
140,20200803,2.1194155314907093,1.749001732960312,0.14383973902201647,78.24,3.0,0.0,3.0,2.0,4.0,2.0,2.0,3.0
141,20200804,-0.024390508809058933,1.7668296637189118,0.1399209573419039,78.24,3.0,0.0,3.0,2.0,4.0,2.0,2.0,3.0
142,20200805,0.22321910290826896,1.7188419443631218,0.13988873928362894,78.24,3.0,0.0,3.0,2.0,4.0,2.0,2.0,3.0
143,20200806,0.23156023017927302,1.9131767372821102,0.1595273556823037,78.24,3.0,0.0,3.0,2.0,4.0,2.0,2.0,3.0
144,20200807,-1.257382227832026,1.8801195504677155,0.1548957732986664,78.24,3.0,0.0,3.0,2.0,4.0,2.0,2.0,3.0
145,20200810,0.6288696064392367,1.786093364359354,0.14867764343835668,78.24,3.0,0.0,3.0,2.0,4.0,2.0,2.0,3.0
146,20200811,-1.3363083143127747,1.5567864015563453,0.11805954025514298,78.24,3.0,0.0,3.0,2.0,4.0,2.0,2.0,3.0
147,20200812,-0.7109350234300112,1.9350609253960709,0.15263212298627818,78.24,3.0,0.0,3.0,2.0,4.0,2.0,2.0,3.0
148,20200813,0.0063451514705520125,1.10233610808495,0.09044539940696718,78.24,3.0,0.0,3.0,2.0,4.0,2.0,2.0,3.0
149,20200814,1.2355085965137251,1.1632496982975953,0.10239444887679938,78.24,3.0,0.0,3.0,2.0,4.0,2.0,2.0,3.0
150,20200817,2.4559345094343796,1.6901313913068565,0.12860577857392286,78.24,3.0,0.0,3.0,2.0,4.0,2.0,2.0,3.0
151,20200818,-0.026931338102047602,1.2483677808197755,0.10273202435941496,78.24,3.0,0.0,3.0,2.0,4.0,2.0,2.0,3.0
152,20200819,-1.2270776686843,1.8732737413419316,0.1838888339971861,78.24,3.0,0.0,3.0,2.0,4.0,2.0,2.0,3.0
153,20200820,-1.4444867174295732,1.4381975033915322,0.11780092160133149,78.24,3.0,0.0,3.0,2.0,4.0,2.0,2.0,3.0
154,20200821,0.7771276358293703,1.2617097340221786,0.10556628937546464,78.24,3.0,0.0,3.0,2.0,4.0,2.0,2.0,3.0
155,20200824,0.4360319254347519,1.516525321358982,0.1287508966206873,78.24,3.0,0.0,3.0,2.0,4.0,2.0,2.0,3.0
156,20200825,-0.5924616082842938,1.4163579070878463,0.16430653880689866,78.24,3.0,0.0,3.0,2.0,4.0,2.0,2.0,3.0
157,20200826,-1.4462194596458993,1.5366334269515645,0.12842941030922786,78.24,3.0,0.0,3.0,2.0,4.0,2.0,2.0,3.0
158,20200827,0.593455695698908,1.2413531660916766,0.10254006327650367,78.24,3.0,0.0,3.0,2.0,4.0,2.0,2.0,3.0
159,20200828,1.8463277511619587,1.457823965166912,0.121590104007736,78.24,3.0,0.0,3.0,2.0,4.0,2.0,2.0,3.0
160,20200831,-0.5272959277654877,1.418747324677173,0.11814316788119145,78.24,3.0,0.0,3.0,2.0,4.0,2.0,2.0,3.0
161,20200901,0.5922714328826559,1.4605864137492,0.11620783297622184,78.24,3.0,0.0,3.0,2.0,4.0,2.0,2.0,3.0
162,20200902,-0.056507003900845294,1.3855443324367533,0.11724368940793135,55.09,0.0,0.0,1.0,2.0,4.0,0.0,2.0,3.0
163,20200903,-0.5615291674248198,1.3693875143614833,0.1163242079664811,55.09,0.0,0.0,1.0,2.0,4.0,0.0,2.0,3.0
164,20200904,-0.659936405520942,1.1661238248176575,0.09697879149468444,46.76,0.0,0.0,1.0,2.0,4.0,0.0,0.0,3.0
165,20200907,-1.8936706702781079,1.720165083890418,0.12959819268039827,46.76,0.0,0.0,1.0,2.0,4.0,0.0,0.0,3.0
166,20200908,0.7204852685368528,1.5214722013057114,0.12657708072512924,46.76,0.0,0.0,1.0,2.0,4.0,0.0,0.0,3.0
167,20200909,-2.1438834985328836,1.8559962506053802,0.14879572573889335,46.76,0.0,0.0,1.0,2.0,4.0,0.0,0.0,3.0
168,20200910,-1.0056025210999606,1.7794957212476414,0.13982774592105038,46.76,0.0,0.0,1.0,2.0,4.0,0.0,0.0,3.0
169,20200911,0.6840810807140353,1.3668972866040099,0.11672579440913457,46.76,0.0,0.0,1.0,2.0,4.0,0.0,0.0,3.0
170,20200914,0.3311720378060422,1.1853819095675195,0.10265050554040375,46.76,0.0,0.0,1.0,2.0,4.0,0.0,0.0,3.0
171,20200915,0.6801685675470373,1.1603115176316496,0.09691313332359643,81.94,3.0,0.0,3.0,2.0,4.0,2.0,2.0,3.0
172,20200916,-0.17152462492984624,1.2355422870849924,0.10211394635593544,81.94,3.0,0.0,3.0,2.0,4.0,2.0,2.0,3.0
173,20200917,-0.2627915640049256,1.277617607962964,0.11330873098049153,81.94,3.0,0.0,3.0,2.0,4.0,2.0,2.0,3.0
174,20200918,2.133665978659359,1.5695824291759572,0.1264328224990074,81.94,3.0,0.0,3.0,2.0,4.0,2.0,2.0,3.0
175,20200921,-0.5967663402282284,1.0674903637055473,0.09134398495089491,75.46,3.0,0.0,2.0,2.0,3.0,2.0,2.0,3.0
176,20200922,-1.4882957376176258,1.1074520949453954,0.0945113254998284,71.76,3.0,0.0,2.0,2.0,3.0,2.0,2.0,3.0
177,20200923,0.11300679616503556,1.166264744761069,0.10456592778408069,63.43,3.0,0.0,2.0,2.0,3.0,0.0,2.0,3.0
178,20200924,-2.0436540922128024,1.0323180936771361,0.08436099574172595,63.43,3.0,0.0,2.0,2.0,3.0,0.0,2.0,3.0
179,20200925,-0.12682248162917,1.1444464191738586,0.09979487072635825,63.43,3.0,0.0,2.0,2.0,3.0,0.0,2.0,3.0
180,20200928,-0.20841356233270986,1.168856903311999,0.09621553474506862,54.17,0.0,0.0,2.0,2.0,3.0,0.0,2.0,3.0
181,20200929,0.3839022498733824,1.0573571217243773,0.08380340488321106,54.17,0.0,0.0,2.0,2.0,3.0,0.0,2.0,3.0
182,20200930,-0.3358828496872712,1.0674046005261133,0.08654538877795426,54.17,0.0,0.0,2.0,2.0,3.0,0.0,2.0,3.0
183,20201009,1.9950733951332231,1.571962774050206,0.13191773458002315,54.17,0.0,0.0,2.0,2.0,3.0,0.0,2.0,3.0
